iter	RMSE
0	0.476374597
1	0.4698602257
2	0.4635527224
3	0.4578738927
4	0.4521176503
5	0.4468226356
6	0.4418770423
7	0.4362940746
8	0.4316860601
9	0.4282609873
10	0.4240082402
11	0.4204295427
12	0.4165466626
13	0.4128129046
14	0.4090596133
15	0.4056753015
16	0.4025295373
17	0.3997604996
18	0.3968454158
19	0.3944501775
20	0.3922907214
21	0.3897255069
22	0.3873923702
23	0.3852422989
24	0.3830648612
25	0.3811311627
26	0.3791795964
27	0.3775563457
28	0.3758122875
29	0.3745026395
30	0.372762498
31	0.3714490265
32	0.3697215873
33	0.3683284807
34	0.3670625356
35	0.3656059955
36	0.3643635336
37	0.3627041445
38	0.3612628024
39	0.3604817839
40	0.3596200515
41	0.3586348554
42	0.3579989046
43	0.3569726502
44	0.356202703
45	0.3553685012
46	0.3546841064
47	0.3537634844
48	0.3530791448
49	0.3523197236
50	0.3513690807
51	0.3506358037
52	0.3502883373
53	0.349574006
54	0.3485625147
55	0.3480644363
56	0.3474712739
57	0.3468502765
58	0.3463102556
59	0.3459972962
60	0.3457208529
61	0.3453589595
62	0.3447541892
63	0.344032321
64	0.3435988897
65	0.3430653116
66	0.3423683326
67	0.3417462016
68	0.3413200091
69	0.3409417175
70	0.3405360717
71	0.3402855877
72	0.3399884549
73	0.339524368
74	0.3393453606
75	0.3387803205
76	0.3383416146
77	0.3378493291
78	0.3372646847
79	0.3368571152
80	0.336086276
81	0.3356772073
82	0.33544699
83	0.3352523986
84	0.3350878039
85	0.3346128946
86	0.3341487867
87	0.3332759362
88	0.3329348431
89	0.3324444779
90	0.3318156046
91	0.3314592809
92	0.3311173718
93	0.3308862852
94	0.3306826352
95	0.330248486
96	0.329847795
97	0.3295989181
98	0.3292870923
99	0.3287746124
100	0.3284853258
101	0.3282037333
102	0.3278559954
103	0.3274471722
104	0.3274213042
105	0.327340333
106	0.327041202
107	0.3265676735
108	0.326544587
109	0.3263277919
110	0.3256997837
111	0.3254270446
112	0.3252554323
113	0.3250592044
114	0.3245914383
115	0.3244295905
116	0.3238664426
117	0.3235814495
118	0.3230991209
119	0.3224751118
120	0.3218619339
121	0.3214904644
122	0.3208509295
123	0.3207164145
124	0.3203473043
125	0.3199914932
126	0.3197428771
